term,estimate,std.error,statistic,p.value,model,or,lci,uci,p,out
(Intercept),0.06,0.03,1.98,0.0482,Male,1.07,1,1.14,0.0482,"OR [95% CI] = 1.07 [1, 1.14], p = 0.0482"
raceAsian,-0.05,0.13,-0.36,0.7175,Male,0.95,0.73,1.24,0.7175,"OR [95% CI] = 0.95 [0.73, 1.24], p = 0.7175"
raceBlack,-0.55,0.09,-6.37,1.8e-10,Male,0.57,0.48,0.68,1.8e-10,"OR [95% CI] = 0.57 [0.48, 0.68], p = 1.8e-10"
raceHispanic,0.15,0.12,1.26,0.2063,Male,1.16,0.92,1.45,0.2063,"OR [95% CI] = 1.16 [0.92, 1.45], p = 0.2063"
apoee2+,-0.24,0.08,-3.08,0.0021,Male,0.79,0.68,0.92,0.0021,"OR [95% CI] = 0.79 [0.68, 0.92], p = 0.0021"
apoee4+,0.82,0.05,17.47,2.3e-68,Male,2.27,2.07,2.49,2.3e-68,"OR [95% CI] = 2.27 [2.07, 2.49], p = 2.3e-68"
z_caide_nosex,0.03,0.02,1.16,0.2454,Male,1.03,0.98,1.07,0.2454,"OR [95% CI] = 1.03 [0.98, 1.07], p = 0.2454"
cohortADNI,0.44,0.07,6.38,1.7e-10,Male,1.55,1.36,1.78,1.7e-10,"OR [95% CI] = 1.55 [1.36, 1.78], p = 1.7e-10"
(Intercept),-0.65,0.03,-21.54,< 1e-100,Female,0.52,0.49,0.55,< 1e-100,"OR [95% CI] = 0.52 [0.49, 0.55], p = < 1e-100"
raceAsian,0.11,0.12,0.92,0.3555,Female,1.11,0.89,1.4,0.3555,"OR [95% CI] = 1.11 [0.89, 1.4], p = 0.3555"
raceBlack,-0.43,0.06,-7.36,1.9e-13,Female,0.65,0.58,0.73,1.9e-13,"OR [95% CI] = 0.65 [0.58, 0.73], p = 1.9e-13"
raceHispanic,0.18,0.09,2.01,0.0440,Female,1.19,1,1.41,0.0440,"OR [95% CI] = 1.19 [1, 1.41], p = 0.0440"
apoee2+,-0.37,0.07,-5,5.9e-07,Female,0.69,0.6,0.8,5.9e-07,"OR [95% CI] = 0.69 [0.6, 0.8], p = 5.9e-07"
apoee4+,0.95,0.04,23.38,< 1e-100,Female,2.59,2.39,2.81,< 1e-100,"OR [95% CI] = 2.59 [2.39, 2.81], p = < 1e-100"
z_caide_nosex,0.06,0.02,3.21,0.0013,Female,1.07,1.02,1.11,0.0013,"OR [95% CI] = 1.07 [1.02, 1.11], p = 0.0013"
cohortADNI,0.54,0.07,7.93,2.2e-15,Female,1.71,1.5,1.95,2.2e-15,"OR [95% CI] = 1.71 [1.5, 1.95], p = 2.2e-15"
