race,outcome,term,estimate,std.error,statistic,p.value,lci,hci,or,or_lci,or_hci,reference,p,out
NHW,ADRD + MCI,"Unfavourable, e2+",0.23,0.15,1.53,0.12582201286675654,-0.07,0.53,1.26,0.94,1.7,FALSE,0.12582,"OR [95% CI] = 1.26 [0.94, 1.7], p = 0.12582"
NHW,ADRD + MCI,"Unfavourable, e3/e3",0.27,0.06,4.43,9.28869817098306e-6,0.15,0.39,1.31,1.16,1.47,FALSE,9.3e-06,"OR [95% CI] = 1.31 [1.16, 1.47], p = 9.3e-06"
NHW,ADRD + MCI,"Unfavourable, e4+",1.09,0.07,15.32,5.708416121512294e-53,0.95,1.23,2.97,2.58,3.41,FALSE,5.7e-53,"OR [95% CI] = 2.97 [2.58, 3.41], p = 5.7e-53"
NHW,ADRD + MCI,"Favourable, e2+",-0.71,0.13,-5.53,3.2217322250115105e-8,-0.96,-0.46,0.49,0.38,0.63,FALSE,3.2e-08,"OR [95% CI] = 0.49 [0.38, 0.63], p = 3.2e-08"
NHW,ADRD + MCI,"Favourable, e3/e3",-0.44,0.06,-7.21,5.60554335716381e-13,-0.56,-0.32,0.64,0.57,0.72,FALSE,5.6e-13,"OR [95% CI] = 0.64 [0.57, 0.72], p = 5.6e-13"
NHW,ADRD + MCI,"Favourable, e4+",0.53,0.07,7.97,1.6252811858198987e-15,0.4,0.67,1.71,1.5,1.95,FALSE,1.6e-15,"OR [95% CI] = 1.71 [1.5, 1.95], p = 1.6e-15"
NHW,ADRD + MCI,"Intermediate, e2+",-0.33,0.07,-4.63,3.6483821879273816e-6,-0.47,-0.19,0.72,0.63,0.83,FALSE,3.6e-06,"OR [95% CI] = 0.72 [0.63, 0.83], p = 3.6e-06"
NHW,ADRD + MCI,"Intermediate, e4+",0.9,0.04,21.96,7.341569095174144e-107,0.82,0.98,2.45,2.26,2.66,FALSE,< 1e-100,"OR [95% CI] = 2.45 [2.26, 2.66], p = < 1e-100"
Latinx,ADRD + MCI,"Unfavourable, e2+",0.18,0.64,0.28,0.776687862980236,-1.08,1.44,1.2,0.34,4.23,FALSE,0.77669,"OR [95% CI] = 1.2 [0.34, 4.23], p = 0.77669"
Latinx,ADRD + MCI,"Unfavourable, e3/e3",0.6,0.2,3.06,0.002214759946698515,0.21,0.98,1.82,1.24,2.67,FALSE,0.00221,"OR [95% CI] = 1.82 [1.24, 2.67], p = 0.00221"
Latinx,ADRD + MCI,"Unfavourable, e4+",1.09,0.24,4.52,6.098575330580435e-6,0.62,1.56,2.98,1.86,4.78,FALSE,6.1e-06,"OR [95% CI] = 2.98 [1.86, 4.78], p = 6.1e-06"
Latinx,ADRD + MCI,"Favourable, e2+",-1.04,0.67,-1.56,0.11774618166490647,-2.35,0.26,0.35,0.09,1.3,FALSE,0.11775,"OR [95% CI] = 0.35 [0.09, 1.3], p = 0.11775"
Latinx,ADRD + MCI,"Favourable, e3/e3",-0.49,0.27,-1.82,0.06814785579173187,-1.03,0.04,0.61,0.36,1.04,FALSE,0.06815,"OR [95% CI] = 0.61 [0.36, 1.04], p = 0.06815"
Latinx,ADRD + MCI,"Favourable, e4+",0.14,0.34,0.42,0.6734044256732776,-0.52,0.8,1.15,0.59,2.23,FALSE,0.67340,"OR [95% CI] = 1.15 [0.59, 2.23], p = 0.67340"
Latinx,ADRD + MCI,"Intermediate, e2+",0.17,0.41,0.42,0.6748546440552081,-0.63,0.97,1.19,0.53,2.64,FALSE,0.67485,"OR [95% CI] = 1.19 [0.53, 2.64], p = 0.67485"
