race,outcome,term,estimate,std.error,statistic,p.value,lci,hci,or,or_lci,or_hci,reference,p,out
NHW,ADRD + MCI,"Unfavourable, e2+",0.02,0.15,0.12,0.9061585500718964,-0.27,0.3,1.02,0.76,1.36,FALSE,0.90616,"OR [95% CI] = 1.02 [0.76, 1.36], p = 0.90616"
NHW,ADRD + MCI,"Unfavourable, e3/e3",0.21,0.06,3.54,3.9760526144342923e-4,0.09,0.32,1.23,1.1,1.38,FALSE,0.00040,"OR [95% CI] = 1.23 [1.1, 1.38], p = 0.00040"
NHW,ADRD + MCI,"Unfavourable, e4+",1.22,0.07,17.22,1.7632923457651732e-66,1.08,1.36,3.38,2.95,3.89,FALSE, 1.8e-66,"OR [95% CI] = 3.38 [2.95, 3.89], p =  1.8e-66"
NHW,ADRD + MCI,"Favourable, e2+",-0.63,0.12,-5.11,3.306770809938874e-7,-0.87,-0.39,0.53,0.42,0.68,FALSE, 3.3e-07,"OR [95% CI] = 0.53 [0.42, 0.68], p =  3.3e-07"
NHW,ADRD + MCI,"Favourable, e3/e3",-0.47,0.06,-7.79,6.87337692267424e-15,-0.59,-0.35,0.62,0.55,0.7,FALSE, 6.9e-15,"OR [95% CI] = 0.62 [0.55, 0.7], p =  6.9e-15"
NHW,ADRD + MCI,"Favourable, e4+",0.35,0.06,5.42,5.976547777290306e-8,0.22,0.48,1.42,1.25,1.61,FALSE, 6.0e-08,"OR [95% CI] = 1.42 [1.25, 1.61], p =  6.0e-08"
NHW,ADRD + MCI,"Intermediate, e2+",-0.33,0.07,-4.65,3.3838866635467444e-6,-0.47,-0.19,0.72,0.62,0.82,FALSE, 3.4e-06,"OR [95% CI] = 0.72 [0.62, 0.82], p =  3.4e-06"
NHW,ADRD + MCI,"Intermediate, e4+",0.9,0.04,21.58,2.8624961594767965e-103,0.82,0.98,2.46,2.27,2.67,FALSE,< 1e-100,"OR [95% CI] = 2.46 [2.27, 2.67], p = < 1e-100"
Latinx,ADRD + MCI,"Unfavourable, e2+",0.64,0.64,1.01,0.31364517804690006,-0.61,1.89,1.9,0.55,6.62,FALSE,0.31365,"OR [95% CI] = 1.9 [0.55, 6.62], p = 0.31365"
Latinx,ADRD + MCI,"Unfavourable, e3/e3",0.33,0.19,1.68,0.09359854383834791,-0.05,0.71,1.38,0.95,2.02,FALSE,0.09360,"OR [95% CI] = 1.38 [0.95, 2.02], p = 0.09360"
Latinx,ADRD + MCI,"Unfavourable, e4+",0.91,0.25,3.69,2.2089165628359737e-4,0.43,1.39,2.48,1.53,4.01,FALSE,0.00022,"OR [95% CI] = 2.48 [1.53, 4.01], p = 0.00022"
Latinx,ADRD + MCI,"Favourable, e2+",-0.81,0.7,-1.16,0.24799677343122936,-2.18,0.56,0.45,0.11,1.76,FALSE,0.24800,"OR [95% CI] = 0.45 [0.11, 1.76], p = 0.24800"
Latinx,ADRD + MCI,"Favourable, e3/e3",-0.72,0.28,-2.6,0.00933963125972829,-1.27,-0.18,0.49,0.28,0.84,FALSE,0.00934,"OR [95% CI] = 0.49 [0.28, 0.84], p = 0.00934"
Latinx,ADRD + MCI,"Favourable, e4+",-0.63,0.35,-1.81,0.07101340861889965,-1.32,0.05,0.53,0.27,1.06,FALSE,0.07101,"OR [95% CI] = 0.53 [0.27, 1.06], p = 0.07101"
Latinx,ADRD + MCI,"Intermediate, e2+",-0.37,0.4,-0.92,0.360088829150393,-1.16,0.42,0.69,0.31,1.52,FALSE,0.36009,"OR [95% CI] = 0.69 [0.31, 1.52], p = 0.36009"
Latinx,ADRD + MCI,"Intermediate, e4+",0.71,0.18,3.9,9.641409150751045e-5,0.35,1.07,2.04,1.43,2.92,FALSE, 9.6e-05,"OR [95% CI] = 2.04 [1.43, 2.92], p =  9.6e-05"
Black,ADRD + MCI,"Unfavourable, e2+",0.12,0.27,0.42,0.6730138695092005,-0.42,0.66,1.12,0.66,1.93,FALSE,0.67301,"OR [95% CI] = 1.12 [0.66, 1.93], p = 0.67301"
Black,ADRD + MCI,"Unfavourable, e3/e3",0.11,0.16,0.69,0.4931675170549383,-0.21,0.43,1.12,0.81,1.54,FALSE,0.49317,"OR [95% CI] = 1.12 [0.81, 1.54], p = 0.49317"
Black,ADRD + MCI,"Unfavourable, e4+",1.11,0.15,7.43,1.1236626423882668e-13,0.82,1.4,3.04,2.26,4.07,FALSE, 1.1e-13,"OR [95% CI] = 3.04 [2.26, 4.07], p =  1.1e-13"
Black,ADRD + MCI,"Favourable, e2+",-0.74,0.43,-1.73,0.08288031389178233,-1.57,0.1,0.48,0.21,1.1,FALSE,0.08288,"OR [95% CI] = 0.48 [0.21, 1.1], p = 0.08288"
Black,ADRD + MCI,"Favourable, e3/e3",-0.14,0.25,-0.56,0.5741744418335905,-0.62,0.35,0.87,0.54,1.41,FALSE,0.57417,"OR [95% CI] = 0.87 [0.54, 1.41], p = 0.57417"
Black,ADRD + MCI,"Favourable, e4+",0.6,0.21,2.94,0.0032804041938152557,0.2,1.01,1.83,1.22,2.73,FALSE,0.00328,"OR [95% CI] = 1.83 [1.22, 2.73], p = 0.00328"
Black,ADRD + MCI,"Intermediate, e2+",-0.48,0.21,-2.33,0.01992213045074437,-0.89,-0.08,0.62,0.41,0.93,FALSE,0.01992,"OR [95% CI] = 0.62 [0.41, 0.93], p = 0.01992"
Black,ADRD + MCI,"Intermediate, e4+",0.83,0.12,6.86,7.0819174480259625e-12,0.59,1.06,2.29,1.8,2.89,FALSE, 7.1e-12,"OR [95% CI] = 2.29 [1.8, 2.89], p =  7.1e-12"
Asian,ADRD + MCI,"Unfavourable, e2+",0.54,0.66,0.81,0.4155311914781235,-0.76,1.83,1.71,0.47,6.25,FALSE,0.41553,"OR [95% CI] = 1.71 [0.47, 6.25], p = 0.41553"
Asian,ADRD + MCI,"Unfavourable, e3/e3",0.34,0.32,1.06,0.2913323954230815,-0.29,0.96,1.4,0.75,2.62,FALSE,0.29133,"OR [95% CI] = 1.4 [0.75, 2.62], p = 0.29133"
Asian,ADRD + MCI,"Unfavourable, e4+",1.37,0.58,2.35,0.018921234187541817,0.23,2.51,3.93,1.25,12.34,FALSE,0.01892,"OR [95% CI] = 3.93 [1.25, 12.34], p = 0.01892"
Asian,ADRD + MCI,"Favourable, e2+",-1.81,0.77,-2.33,0.019580617274325023,-3.32,-0.29,0.16,0.04,0.75,FALSE,0.01958,"OR [95% CI] = 0.16 [0.04, 0.75], p = 0.01958"
Asian,ADRD + MCI,"Favourable, e3/e3",-1.07,0.3,-3.6,3.2438262113009756e-4,-1.65,-0.49,0.34,0.19,0.61,FALSE,0.00032,"OR [95% CI] = 0.34 [0.19, 0.61], p = 0.00032"
Asian,ADRD + MCI,"Favourable, e4+",-0.31,0.38,-0.81,0.42035135685013425,-1.06,0.44,0.73,0.35,1.55,FALSE,0.42035,"OR [95% CI] = 0.73 [0.35, 1.55], p = 0.42035"
Asian,ADRD + MCI,"Intermediate, e2+",-0.65,0.36,-1.79,0.07284630243625566,-1.36,0.06,0.52,0.26,1.06,FALSE,0.07285,"OR [95% CI] = 0.52 [0.26, 1.06], p = 0.07285"
Asian,ADRD + MCI,"Intermediate, e4+",1.19,0.26,4.62,3.789507344234151e-6,0.69,1.7,3.29,1.99,5.45,FALSE, 3.8e-06,"OR [95% CI] = 3.29 [1.99, 5.45], p =  3.8e-06"
NHW,ADRD,"Unfavourable, e2+",-0.16,0.18,-0.9,0.3686103684867277,-0.51,0.19,0.85,0.6,1.21,FALSE,0.36861,"OR [95% CI] = 0.85 [0.6, 1.21], p = 0.36861"
NHW,ADRD,"Unfavourable, e3/e3",0.16,0.07,2.4,0.016453051096923257,0.03,0.3,1.18,1.03,1.34,FALSE,0.01645,"OR [95% CI] = 1.18 [1.03, 1.34], p = 0.01645"
