race,outcome,predictor,estimate,std.error,statistic,p.value,stars
NHW,ADRD + MCI,e2+,-0.27,0.058,-4.58, 4.7e-06,***
NHW,ADRD + MCI,e4+,0.91,0.034,26.91,1.5e-159,***
NHW,ADRD + MCI,mCAIDE,0.26,0.017,15.57, 1.1e-54,***
Hispanic,ADRD + MCI,e2+,-0.15,0.305,-0.48,0.629,
Hispanic,ADRD + MCI,e4+,0.61,0.141,4.3, 1.7e-05,***
Hispanic,ADRD + MCI,mCAIDE,0.33,0.064,5.21, 1.8e-07,***
Black,ADRD + MCI,e2+,-0.35,0.158,-2.23,0.026,*
Black,ADRD + MCI,e4+,0.87,0.095,9.13, 7.0e-20,***
Black,ADRD + MCI,mCAIDE,0.15,0.044,3.35, 8.1e-04,***
Asian,ADRD + MCI,e2+,-0.51,0.294,-1.73,0.083,
Asian,ADRD + MCI,e4+,1.09,0.207,5.27, 1.3e-07,***
Asian,ADRD + MCI,mCAIDE,0.53,0.096,5.51, 3.5e-08,***
NHW,ADRD,e2+,-0.38,0.072,-5.24, 1.6e-07,***
NHW,ADRD,e4+,1,0.038,26.36,4.1e-153,***
NHW,ADRD,mCAIDE,0.25,0.019,13.24, 5.2e-40,***
Hispanic,ADRD,e2+,0.05,0.359,0.13,0.893,
Hispanic,ADRD,e4+,0.82,0.162,5.08, 3.8e-07,***
Hispanic,ADRD,mCAIDE,0.37,0.074,5.1, 3.5e-07,***
Black,ADRD,e2+,-0.38,0.206,-1.83,0.067,
Black,ADRD,e4+,1.09,0.114,9.58, 9.9e-22,***
Black,ADRD,mCAIDE,0.19,0.052,3.57, 3.6e-04,***
Asian,ADRD,e2+,-0.43,0.358,-1.2,0.229,
Asian,ADRD,e4+,1.2,0.238,5.05, 4.4e-07,***
Asian,ADRD,mCAIDE,0.51,0.112,4.53, 5.9e-06,***
NHW,AD + MCI,e2+,-0.3,0.067,-4.57, 5.0e-06,***
NHW,AD + MCI,e4+,1.11,0.036,30.46,8.5e-204,***
NHW,AD + MCI,mCAIDE,0.3,0.018,16.82, 1.8e-63,***
Hispanic,AD + MCI,e2+,-0.08,0.314,-0.26,0.799,
Hispanic,AD + MCI,e4+,0.69,0.145,4.74, 2.2e-06,***
Hispanic,AD + MCI,mCAIDE,0.3,0.066,4.58, 4.6e-06,***
Black,AD + MCI,e2+,-0.41,0.173,-2.36,0.018,*
Black,AD + MCI,e4+,0.93,0.1,9.34, 9.4e-21,***
Black,AD + MCI,mCAIDE,0.16,0.047,3.36, 7.8e-04,***
Asian,AD + MCI,e2+,-0.43,0.32,-1.35,0.178,
Asian,AD + MCI,e4+,1.27,0.22,5.76, 8.6e-09,***
Asian,AD + MCI,mCAIDE,0.65,0.108,5.97, 2.3e-09,***
NHW,AD,e2+,-0.48,0.089,-5.42, 6.0e-08,***
NHW,AD,e4+,1.24,0.042,29.24,5.8e-188,***
NHW,AD,mCAIDE,0.31,0.021,14.69, 7.3e-49,***
Hispanic,AD,e2+,0.1,0.369,0.28,0.777,
Hispanic,AD,e4+,0.88,0.167,5.27, 1.3e-07,***
Hispanic,AD,mCAIDE,0.33,0.077,4.3, 1.7e-05,***
Black,AD,e2+,-0.5,0.229,-2.2,0.028,*
Black,AD,e4+,1.13,0.119,9.43, 3.9e-21,***
Black,AD,mCAIDE,0.22,0.055,4.02, 5.8e-05,***
Asian,AD,e2+,-0.42,0.404,-1.04,0.298,
Asian,AD,e4+,1.34,0.258,5.19, 2.1e-07,***
Asian,AD,mCAIDE,0.61,0.127,4.81, 1.5e-06,***
