race,outcome,predictor,estimate,std.error,statistic,p.value,or,lci,uci,stars,out
NHW,Males,e2+,-0.21,0.084,-2.47,0.014,0.81,0.69,0.96,*,"OR [95% CI] = 0.81 [0.69, 0.96], p = 0.014"
NHW,Males,e4+,0.83,0.05,16.36, 3.5e-60,2.28,2.07,2.52,***,"OR [95% CI] = 2.28 [2.07, 2.52], p =  3.5e-60"
NHW,Males,mCAIDE,0.13,0.025,4.96, 7.1e-07,1.13,1.08,1.19,***,"OR [95% CI] = 1.13 [1.08, 1.19], p =  7.1e-07"
Hispanic,Males,e2+,-0.22,0.54,-0.42,0.677,0.8,0.28,2.3,,"OR [95% CI] = 0.8 [0.28, 2.3], p = 0.677"
Hispanic,Males,e4+,0.51,0.245,2.08,0.038,1.66,1.03,2.69,*,"OR [95% CI] = 1.66 [1.03, 2.69], p = 0.038"
Hispanic,Males,mCAIDE,0.21,0.11,1.95,0.051,1.24,1,1.54,,"OR [95% CI] = 1.24 [1, 1.54], p = 0.051"
Black,Males,e2+,-0.33,0.292,-1.11,0.265,0.72,0.41,1.28,,"OR [95% CI] = 0.72 [0.41, 1.28], p = 0.265"
Black,Males,e4+,0.82,0.178,4.61, 3.9e-06,2.27,1.6,3.22,***,"OR [95% CI] = 2.27 [1.6, 3.22], p =  3.9e-06"
Black,Males,mCAIDE,0.02,0.083,0.27,0.784,1.02,0.87,1.2,,"OR [95% CI] = 1.02 [0.87, 1.2], p = 0.784"
Asian,Males,e2+,-0.48,0.435,-1.1,0.273,0.62,0.26,1.46,,"OR [95% CI] = 0.62 [0.26, 1.46], p = 0.273"
Asian,Males,e4+,1.24,0.325,3.81, 1.4e-04,3.45,1.82,6.53,***,"OR [95% CI] = 3.45 [1.82, 6.53], p =  1.4e-04"
Asian,Males,mCAIDE,0.3,0.15,2,0.046,1.35,1.01,1.81,*,"OR [95% CI] = 1.35 [1.01, 1.81], p = 0.046"
NHW,Females,e2+,-0.35,0.085,-4.14, 3.4e-05,0.7,0.6,0.83,***,"OR [95% CI] = 0.7 [0.6, 0.83], p =  3.4e-05"
NHW,Females,e4+,1,0.046,21.6,2.0e-103,2.71,2.48,2.97,***,"OR [95% CI] = 2.71 [2.48, 2.97], p = 2.0e-103"
NHW,Females,mCAIDE,0.22,0.022,9.9, 4.0e-23,1.25,1.19,1.3,***,"OR [95% CI] = 1.25 [1.19, 1.3], p =  4.0e-23"
Hispanic,Females,e2+,-0.05,0.375,-0.14,0.891,0.95,0.46,1.98,,"OR [95% CI] = 0.95 [0.46, 1.98], p = 0.891"
Hispanic,Females,e4+,0.7,0.176,4, 6.3e-05,2.02,1.43,2.85,***,"OR [95% CI] = 2.02 [1.43, 2.85], p =  6.3e-05"
Hispanic,Females,mCAIDE,0.32,0.078,4.09, 4.3e-05,1.37,1.18,1.6,***,"OR [95% CI] = 1.37 [1.18, 1.6], p =  4.3e-05"
Black,Females,e2+,-0.37,0.19,-1.93,0.053,0.69,0.48,1.01,,"OR [95% CI] = 0.69 [0.48, 1.01], p = 0.053"
Black,Females,e4+,0.87,0.113,7.7, 1.4e-14,2.39,1.91,2.98,***,"OR [95% CI] = 2.39 [1.91, 2.98], p =  1.4e-14"
Black,Females,mCAIDE,0.14,0.052,2.73,0.006,1.15,1.04,1.28,**,"OR [95% CI] = 1.15 [1.04, 1.28], p = 0.006"
Asian,Females,e2+,-0.57,0.403,-1.41,0.157,0.57,0.26,1.25,,"OR [95% CI] = 0.57 [0.26, 1.25], p = 0.157"
Asian,Females,e4+,0.98,0.275,3.58, 3.4e-04,2.67,1.56,4.58,***,"OR [95% CI] = 2.67 [1.56, 4.58], p =  3.4e-04"
Asian,Females,mCAIDE,0.6,0.126,4.79, 1.7e-06,1.83,1.43,2.34,***,"OR [95% CI] = 1.83 [1.43, 2.34], p =  1.7e-06"
