race,outcome,predictor,estimate,std.error,statistic,p.value,stars
NHW,ADRD + MCI,e2+,-0.32,0.06,-5.29, 1.2e-07,***
NHW,ADRD + MCI,e4+,0.94,0.035,26.98,2.5e-160,***
NHW,ADRD + MCI,Age,0.02,0.002,9.66, 4.6e-22,***
NHW,ADRD + MCI,Male,0.85,0.034,24.87,1.6e-136,***
NHW,ADRD + MCI,Education,-0.12,0.006,-19.8, 3.0e-87,***
NHW,ADRD + MCI,BMI,-0.03,0.004,-7.94, 1.9e-15,***
NHW,ADRD + MCI,SBP,0,0.001,5.07, 3.9e-07,***
NHW,ADRD + MCI,Hypercholesterolemia,-0.06,0.033,-1.66,0.097,
Hispanic,ADRD + MCI,e2+,-0.14,0.328,-0.43,0.664,
Hispanic,ADRD + MCI,e4+,0.7,0.153,4.58, 4.6e-06,***
Hispanic,ADRD + MCI,Age,0.07,0.01,7.51, 5.8e-14,***
Hispanic,ADRD + MCI,Male,0.75,0.152,4.95, 7.3e-07,***
Hispanic,ADRD + MCI,Education,-0.06,0.016,-4.04, 5.3e-05,***
Hispanic,ADRD + MCI,BMI,-0.07,0.016,-4.17, 3.1e-05,***
Hispanic,ADRD + MCI,SBP,-0,0.004,-1.05,0.296,
Hispanic,ADRD + MCI,Hypercholesterolemia,0.19,0.145,1.28,0.2,
Black,ADRD + MCI,e2+,-0.39,0.168,-2.33,0.02,*
Black,ADRD + MCI,e4+,0.89,0.102,8.7, 3.4e-18,***
Black,ADRD + MCI,Age,0.05,0.006,8.67, 4.5e-18,***
Black,ADRD + MCI,Male,0.59,0.106,5.57, 2.6e-08,***
Black,ADRD + MCI,Education,-0.1,0.015,-6.63, 3.3e-11,***
Black,ADRD + MCI,BMI,-0.06,0.009,-7, 2.5e-12,***
Black,ADRD + MCI,SBP,0.01,0.003,2.62,0.009,**
Black,ADRD + MCI,Hypercholesterolemia,-0.15,0.096,-1.57,0.117,
Asian,ADRD + MCI,e2+,-0.52,0.311,-1.67,0.095,
Asian,ADRD + MCI,e4+,1.21,0.22,5.49, 3.9e-08,***
Asian,ADRD + MCI,Age,0.08,0.012,6.33, 2.5e-10,***
Asian,ADRD + MCI,Male,0.8,0.199,3.99, 6.6e-05,***
Asian,ADRD + MCI,Education,-0.08,0.028,-2.93,0.003,**
Asian,ADRD + MCI,BMI,-0.05,0.028,-1.96,0.05,
Asian,ADRD + MCI,SBP,-0,0.005,-0.28,0.776,
Asian,ADRD + MCI,Hypercholesterolemia,0.35,0.188,1.88,0.06,
NHW,ADRD,e2+,-0.41,0.074,-5.49, 4.0e-08,***
NHW,ADRD,e4+,1.02,0.04,25.77,1.8e-146,***
NHW,ADRD,Age,0.02,0.002,8.68, 3.9e-18,***
NHW,ADRD,Male,0.82,0.039,20.73, 2.0e-95,***
NHW,ADRD,Education,-0.16,0.007,-23,4.2e-117,***
